1,	Nabil Bank Limited,	NABIL,	Active,	Commercial Banks,	A,	Equity
2,	Standard Chartered Bank Nepal Limited,	SCB,	Active,	Commercial Banks,	A,	Equity
3,	Nepal SBI Bank Limited,	SBI,	Active,	Commercial Banks,	A,	Equity
4,	Everest Bank Limited,	EBL,	Active,	Commercial Banks,	A,	Equity
5,	Siddhartha Bank Limited,	SBL,	Active,	Commercial Banks,	A,	Equity
6,	Butwal Power Company Limited,	BPCL,	Active,	Hydro Power,	A,	Equity
7,	Chilime Hydropower Company Limited,	CHCL,	Active,	Hydro Power,	A,	Equity
8,	Nepal Insurance Co. Ltd.,	NICL,	Active,	Non Life Insurance,	A,	Equity
9,	Chhimek Laghubitta Bittiya Sanstha Limited,	CBBL,	Active,	Microfinance,	A,	Equity
10,	Sanima Bank Limited,	SANIMA,	Active,	Commercial Banks,	A,	Equity
11,	Himalayan Distillery Limited,	HDL,	Active,	Manufacturing And Processing,	A,	Equity
12,	ICFC Finance Limited,	ICFC,	Active,	Finance,	A,	Equity
13,	Nepal Doorsanchar Company Limited,	NTC,	Active,	Others,	A,	Equity
14,	Global IME Bank Limited,	GBIME,	Active,	Commercial Banks,	A,	Equity
15,	Citizens Bank International Limited,	CZBIL,	Active,	Commercial Banks,	A,	Equity
16,	Miteri Development Bank Limited,	MDB,	Active,	Development Banks,	A,	Equity
17,	Lumbini Bikas Bank Ltd.,	LBBL,	Active,	Development Banks,	A,	Equity
18,	Mahalaxmi Bikas Bank Ltd.,	MLBL,	Active,	Development Banks,	A,	Equity
19,	SHANGRI-LA DEVELOPMENT BANK LIMITED,	SADBL,	Active,	Development Banks,	A,	Equity
20,	SHINE RESUNGA DEVELOPMENT BANK LTD,	SHINE,	Active,	Development Banks,	A,	Equity
21,	Muktinath Bikas Bank Ltd.,	MNBBL,	Active,	Development Banks,	A,	Equity
22,	First Micro Finance Laghubitta Bittiya Sanstha Limited,	FMDBL,	Active,	Microfinance,	A,	Equity
23,	Garima Bikas Bank Limited,	GBBL,	Active,	Development Banks,	A,	Equity
24,	Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,	SKBBL,	Active,	Microfinance,	A,	Equity
25,	Sanima Mai Hydropower Limited,	SHPC,	Active,	Hydro Power,	A,	Equity
26,	Hydorelectricity Investment and Development Company Ltd,	HIDCL,	Active,	Investment,	A,	Equity
27,	Swabhumaan Laghubitta Bittiya Sanstha Ltd,	SMFBS,	Active,	Microfinance,	A,	Equity
28,	Shivam Cements Limited,	SHIVM,	Active,	Manufacturing And Processing,	A,	Equity
29,	Nepal Infrastructure Bank Limited,	NIFRA,	Active,	Investment,	A,	Equity
30,	Jeevan Bikas Laghubitta Bittiya Sanstha Ltd,	JBLB,	Active,	Microfinance,	A,	Equity
31,	NIC ASIA Laghubitta Bittiya Sanstha Limited,	NICLBSL,	Active,	Microfinance,	A,	Equity
32,	Universal Power Company Limited,	UPCL,	Active,	Hydro Power,	B,	Equity
33,	Mountain Hydro Nepal Limited,	MHNL,	Active,	Hydro Power,	B,	Equity
34,	Union Hydropower Limited,	UNHPL,	Active,	Hydro Power,	B,	Equity
35,	NRN Infrastructure and Development Limited,	NRN,	Active,	Investment,	B,	Equity
36,	RSDC Laghubitta Bittiya Sanstha Ltd.,	RSDC,	Active,	Microfinance,	B,	Equity
37,	Arun Kabeli Power Ltd.,	AKPL,	Active,	Hydro Power,	B,	Equity
38,	Radhi Bidyut Company Ltd,	RADHI,	Active,	Hydro Power,	B,	Equity
39,	Kalika power Company Ltd,	KPCL,	Active,	Hydro Power,	B,	Equity
40,	Ankhu Khola Jalvidhyut Company Limited,	AKJCL,	Active,	Hydro Power,	B,	Equity
41,	Ngadi Group Power Ltd.,	NGPL,	Active,	Hydro Power,	B,	Equity
42,	API POWER COMPANY LIMITED,	API,	Active,	Hydro Power,	B,	Equity
43,	Global IME Laghubitta Bittiya Sanstha Ltd.,	GILB,	Active,	Microfinance,	B,	Equity
44,	Synergy Power Development Ltd.,	SPDL,	Active,	Hydro Power,	B,	Equity
45,	Ridi Power Company Limited,	RIDI,	Active,	Hydro Power,	B,	Equity
46,	Barun Hydropower Co. Ltd.,	BARUN,	Active,	Hydro Power,	B,	Equity
47,	Kamana Sewa Bikas Bank Limited,	KSBBL,	Active,	Development Banks,	B,	Equity
48,	Jyoti Bikas Bank Limited,	JBBL,	Active,	Development Banks,	B,	Equity
49,	Manjushree Finance Ltd.,	MFIL,	Active,	Finance,	B,	Equity
50,	Nepal Bank Limited,	NBL,	Active,	Commercial Banks,	B,	Equity
51,	Arun Valley Hydropower Development Co. Ltd.,	AHPC,	Active,	Hydro Power,	B,	Equity
52,	Prime Commercial Bank Ltd.,	PCBL,	Active,	Commercial Banks,	B,	Equity
53,	Samriddhi Finance Company Limited,	SFCL,	Active,	Finance,	B,	Equity
54,	Guheswori Merchant Banking & Finance Ltd.,	GMFIL,	Active,	Finance,	B,	Equity
55,	Pokhara Finance Ltd.,	PFL,	Active,	Finance,	B,	Equity
56,	NMB Bank Limited,	NMB,	Active,	Commercial Banks,	B,	Equity
57,	Shree Investment Finance Co. Ltd.,	SIFC,	Active,	Finance,	B,	Equity
58,	Nepal Finance Ltd.,	NFS,	Active,	Finance,	B,	Equity
59,	Soaltee Hotel Limited,	SHL,	Active,	Hotels And Tourism,	B,	Equity
60,	Taragaon Regency Hotel Limited,	TRH,	Active,	Hotels And Tourism,	B,	Equity
61,	Oriental Hotels Limited,	OHL,	Active,	Hotels And Tourism,	B,	Equity
